Quotazioni Fantacalcio Stagione 2023 24,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
2815,P,Por,Terracciano,Fiorentina,19,10,9,19,10,9,55,55
2428,P,Por,Sommer,Inter,18,15,3,18,15,3,95,95
5876,P,Por,Di Gregorio,Monza,18,12,6,18,12,6,66,66
453,P,Por,Szczesny,Juventus,17,15,2,17,15,2,90,90
133,P,Por,Skorupski,Bologna,15,10,5,15,10,5,47,47
2134,P,Por,Falcone,Lecce,15,8,7,15,8,7,25,25
2814,P,Por,Provedel,Lazio,15,16,-1,15,16,-1,57,57
572,P,Por,Meret,Napoli,13,17,-4,13,17,-4,61,61
2170,P,Por,Milinkovic-Savic V.,Torino,13,10,3,13,10,3,45,45
4270,P,Por,Rui Patricio,Roma,12,14,-2,12,14,-2,55,55
4312,P,Por,Maignan,Milan,12,17,-5,12,17,-5,82,82
4957,P,Por,Montipo',Verona,12,7,5,12,7,5,13,13
5116,P,Por,Martinez Jo.,Genoa,11,8,3,11,8,3,25,25
4431,P,Por,Carnesecchi,Atalanta,10,11,-1,10,11,-1,30,30
509,P,Por,Consigli,Sassuolo,9,5,4,9,5,4,15,15
2792,P,Por,Musso,Atalanta,9,3,6,9,3,6,15,15
316,P,Por,Berisha,Empoli,8,1,7,8,1,7,12,12
574,P,Por,Scuffet,Cagliari,8,1,7,8,1,7,1,1
4867,P,Por,Turati,Frosinone,7,5,2,7,5,2,14,14
2211,P,Por,Silvestri,Udinese,6,9,-3,6,9,-3,17,17
2338,P,Por,Costil,Salernitana,6,1,5,6,1,5,1,1
4360,P,Por,Caprile,Empoli,6,7,-1,6,7,-1,5,5
6120,P,Por,Ochoa,Salernitana,5,9,-4,5,9,-4,13,13
2722,P,Por,Ravaglia F.,Bologna,3,1,2,3,1,2,1,1
2845,P,Por,Contini,Napoli,3,1,2,3,1,2,1,1
6462,P,Por,Okoye,Udinese,3,1,2,3,1,2,1,1
3,P,Por,Radunovic,Cagliari,2,8,-6,2,8,-6,10,10
4,P,Por,Sportiello,Milan,2,1,1,2,1,1,2,2
610,P,Por,Gollini,Napoli,2,1,1,2,1,1,1,1
41,P,Por,Mirante,Milan,1,1,0,1,1,0,1,1
159,P,Por,Sepe,Lazio,1,1,0,1,1,0,1,1
188,P,Por,Leali,Genoa,1,1,0,1,1,0,1,1
