Statistiche Fantacalcio Stagione 2023 24,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
5876,P,Por,Di Gregorio,Monza,7,6.64,5.79,0,6,0,0,0,0,0,0,0,0
133,P,Por,Skorupski,Bologna,8,6.31,5.5,0,6,0,0,0,0,0,1,0,0
2428,P,Por,Sommer,Inter,8,5.88,5.25,0,5,0,0,0,0,0,0,0,0
2815,P,Por,Terracciano,Fiorentina,6,6.25,5.33,0,5,0,0,0,0,0,1,0,0
453,P,Por,Szczesny,Juventus,6,6,5.17,0,5,0,0,0,0,0,0,0,0
572,P,Por,Meret,Napoli,8,5.75,4.62,0,9,0,0,0,0,0,0,0,0
2134,P,Por,Falcone,Lecce,8,6.31,5.06,0,10,0,0,0,0,0,0,0,0
2814,P,Por,Provedel,Lazio,8,6.44,4.94,0,12,0,0,0,0,0,0,0,0
4957,P,Por,Montipo',Verona,8,6.38,5.38,0,8,0,0,0,0,0,0,0,0
2170,P,Por,Milinkovic-Savic V.,Torino,8,5.75,4.56,0,9,0,0,0,0,0,1,0,0
4312,P,Por,Maignan,Milan,6,5.92,4.5,0,7,0,0,0,0,0,1,1,0
509,P,Por,Consigli,Sassuolo,6,6.25,4.92,0,8,0,0,0,0,0,0,0,0
4270,P,Por,Rui Patricio,Roma,8,5.88,4.38,0,12,0,0,0,0,0,0,0,0
4867,P,Por,Turati,Frosinone,7,6.36,4.93,0,10,0,0,0,0,0,0,0,0
2792,P,Por,Musso,Atalanta,6,6.25,5.42,0,5,0,0,0,0,0,0,0,0
2211,P,Por,Silvestri,Udinese,8,5.69,4.19,0,12,0,0,0,0,0,0,0,0
4431,P,Por,Carnesecchi,Atalanta,2,6,4.5,0,3,0,0,0,0,0,0,0,0
3,P,Por,Radunovic,Cagliari,7,5.71,4,0,12,0,0,0,0,0,0,0,0
5116,P,Por,Martinez Jo.,Genoa,8,5.88,4.19,0,12,0,0,0,0,0,1,1,0
6120,P,Por,Ochoa,Salernitana,8,6.12,4,0,17,0,0,0,0,0,0,0,0
4,P,Por,Sportiello,Milan,2,6.25,5.75,0,1,0,0,0,0,0,0,0,0
316,P,Por,Berisha,Empoli,6,6.17,4.5,0,13,1,0,0,0,0,0,0,0
4360,P,Por,Caprile,Empoli,1,5,4,0,1,0,0,0,0,0,0,0,0
218,P,Por,Perin,Juventus,2,6,5.5,0,1,0,0,0,0,0,0,0,0
2178,P,Por,Cragno,Sassuolo,2,6.25,3.25,0,6,0,0,0,0,0,0,0,0
41,P,Por,Mirante,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
159,P,Por,Sepe,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
188,P,Por,Leali,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
217,P,Por,Lamanna,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
219,P,Por,Sommariva,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
510,P,Por,Pegolo,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0
511,P,Por,Perilli,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
543,P,Por,Padelli,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
574,P,Por,Scuffet,Cagliari,1,6,2,0,4,0,0,0,0,0,0,0,0
610,P,Por,Gollini,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
673,P,Por,Perisan,Empoli,1,5,3,0,2,0,0,0,0,0,0,0,0
761,P,Por,Audero,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,P,Por,Di Gennaro,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,P,Por,Pinsoglio,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,P,Por,Aresti,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
